date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,19.07,19.2,18.96,18.93,55253.8,-0.15,-0.79,18.944,18.89,19.47,54922.99,65239.13,62488.49,0.8
2017-11-09,19.0,19.29,19.11,18.91,48740.98,0.11,0.58,18.812,19.004,19.575,57499.69,66939.37,64403.93,0.7
2017-11-08,19.02,19.38,19.0,18.85,65752.86,-0.02,-0.1,18.742,19.097,19.679,58625.86,66183.46,68992.33,0.95
2017-11-07,18.63,19.13,19.02,18.48,67518.1,0.39,2.09,18.736,19.195,19.774,54264.41,63527.67,75018.16,0.97
2017-11-06,18.38,18.7,18.63,18.2,37349.19,0.33,1.8,18.762,19.272,19.882,54513.66,62333.82,82639.76,0.54
2017-11-03,18.75,18.83,18.3,18.29,68137.3,-0.46,-2.45,18.836,19.418,19.968,75555.28,62949.57,84267.59,0.98
2017-11-02,18.88,19.0,18.76,18.67,54371.87,-0.21,-1.11,19.196,19.594,20.056,76379.06,60830.06,84042.31,0.78
2017-11-01,18.98,19.13,18.97,18.92,43945.58,-0.18,-0.94,19.452,19.703,20.116,73741.05,62315.27,85717.16,0.63
2017-10-31,18.98,19.18,19.15,18.83,68764.35,0.15,0.79,19.654,19.808,20.19,72790.94,64167.97,86997.55,0.99
2017-10-30,19.9,19.9,19.0,18.8,142557.31,-1.1,-5.47,19.782,19.922,20.255,70153.99,61870.86,87581.38,2.05
2017-10-27,20.08,20.39,20.1,20.01,72256.2,0.06,0.3,20.0,20.049,20.345,50343.85,59737.84,85731.63,1.04
2017-10-26,20.0,20.08,20.04,19.9,41181.83,0.06,0.3,19.992,20.146,20.363,45281.06,61868.48,86662.31,0.59
2017-10-25,19.79,20.05,19.98,19.76,39195.0,0.19,0.96,19.954,20.261,20.403,50889.49,71801.2,88517.49,0.56
2017-10-24,19.99,20.03,19.79,19.66,55579.6,-0.3,-1.49,19.962,20.353,20.455,55545.0,86508.64,91565.4,0.8
2017-10-23,19.99,20.18,20.09,19.85,43506.61,0.03,0.15,20.062,20.492,20.504,53587.74,102945.69,94595.53,0.63
2017-10-20,19.84,20.06,20.06,19.7,46942.28,0.21,1.06,20.098,20.518,20.552,69131.83,105585.62,98677.0,0.68
2017-10-19,20.08,20.35,19.85,19.7,69223.98,-0.17,-0.85,20.3,20.518,20.6,78455.89,107254.56,107703.45,1.0
2017-10-18,20.34,20.4,20.02,20.0,62472.55,-0.27,-1.33,20.568,20.529,20.707,92712.9,109119.04,120485.27,0.9
2017-10-17,20.26,20.47,20.29,20.25,45793.28,0.02,0.1,20.744,20.572,20.771,117472.27,109827.13,125885.53,0.66
2017-10-16,21.0,21.0,20.27,20.26,121227.04,-0.8,-3.8,20.922,20.587,20.818,152303.63,113291.89,135037.55,1.75
2017-10-13,21.2,21.33,21.07,20.92,93562.61,-0.12,-0.57,20.938,20.641,20.842,142039.42,111725.42,136437.43,1.35
2017-10-12,21.38,21.49,21.19,20.88,140509.03,0.29,1.39,20.736,20.579,20.834,136053.23,111456.14,149923.15,2.02
2017-10-11,21.35,21.8,20.9,20.86,186269.41,-0.28,-1.32,20.49,20.545,20.784,125525.17,105233.77,151597.1,2.68
2017-10-10,20.39,21.35,21.18,20.36,219950.08,0.83,4.08,20.4,20.557,20.748,102181.98,96622.17,150698.75,3.17
2017-10-09,20.39,20.58,20.35,20.27,69905.96,0.29,1.45,20.252,20.516,20.686,74280.16,86245.37,144197.8,1.01
2017-09-29,20.05,20.22,20.06,19.95,63631.69,0.1,0.5,20.344,20.585,20.653,81411.42,91768.39,145261.65,0.92
2017-09-28,20.46,20.47,19.96,19.93,87868.73,-0.49,-2.4,20.422,20.682,20.643,86859.05,108152.34,147283.91,1.27
2017-09-27,20.44,20.59,20.45,20.31,69553.45,0.01,0.05,20.6,20.885,20.652,84942.37,131851.51,152412.75,1.0
2017-09-26,20.75,20.75,20.44,20.26,80440.95,-0.37,-1.78,20.714,20.97,20.614,91062.35,141943.93,151079.52,1.16
2017-09-25,20.39,20.99,20.81,20.3,105562.3,0.36,1.76,20.78,21.049,20.571,98210.59,156783.21,149590.57,1.52
2017-09-22,20.75,20.78,20.45,20.27,90869.82,-0.4,-1.92,20.826,21.042,20.518,102125.35,161149.45,148109.71,1.31
2017-09-21,21.02,21.17,20.85,20.81,78285.35,-0.17,-0.81,20.942,21.089,20.478,129445.63,188390.16,147069.35,1.13
2017-09-20,20.77,21.17,21.02,20.53,100153.32,0.25,1.2,21.17,21.023,20.401,178760.65,197960.43,144984.4,1.44
2017-09-19,21.04,21.35,20.77,20.61,116182.14,-0.27,-1.28,21.226,20.938,20.321,192825.51,204775.33,142169.5,1.67
2017-09-18,21.0,21.3,21.04,20.63,125136.11,0.01,0.05,21.318,20.855,20.263,215355.84,202150.23,139327.75,1.8
2017-09-15,21.85,21.89,21.03,21.02,227471.23,-0.96,-4.37,21.258,20.721,20.206,220173.55,198754.91,136130.56,3.28
2017-09-14,21.1,22.43,21.99,21.06,324860.44,0.69,3.24,21.236,20.604,20.135,247334.7,186415.48,127701.21,4.68
2017-09-13,21.1,21.52,21.3,20.88,170477.64,0.07,0.33,20.876,20.419,20.03,217160.21,172973.99,116664.91,2.46
2017-09-12,20.65,21.48,21.23,20.6,228833.78,0.49,2.36,20.65,20.258,19.954,216725.16,160215.1,113941.04,3.3
2017-09-11,20.92,20.93,20.74,20.53,149224.64,-0.18,-0.86,20.392,20.093,19.86,188944.62,142397.93,104744.29,2.15
2017-09-08,20.13,21.97,20.92,20.06,363277.0,0.73,3.62,20.184,19.993,19.792,177336.28,135069.97,100205.68,5.23
2017-09-07,20.1,20.58,20.19,19.95,173988.0,0.02,0.1,19.972,19.867,19.705,125496.25,105748.53,85950.41,2.51
2017-09-06,19.94,20.36,20.17,19.92,168302.36,0.23,1.15,19.962,19.779,19.673,128787.77,92008.36,84498.57,2.42
2017-09-05,19.8,20.08,19.94,19.73,89931.09,0.24,1.22,19.866,19.703,19.67,103705.05,79563.67,81554.98,1.3
2017-09-04,19.84,19.85,19.7,19.68,91182.97,-0.16,-0.81,19.794,19.67,19.697,95851.25,76505.27,83430.4,1.31
2017-09-01,20.09,20.09,19.86,19.8,104076.84,-0.28,-1.39,19.802,19.69,19.737,92803.66,73506.2,90379.98,1.5
2017-08-31,19.92,20.4,20.14,19.8,190445.59,0.45,2.29,19.762,19.665,19.715,86000.82,68986.95,87707.67,2.74
2017-08-30,19.49,19.74,19.69,19.47,42888.74,0.11,0.56,19.596,19.64,19.685,55228.95,60355.82,80928.0,0.62
2017-08-29,19.73,19.83,19.58,19.57,50662.1,-0.16,-0.81,19.54,19.65,19.677,55422.29,67666.97,82173.77,0.73
2017-08-28,19.66,19.82,19.74,19.48,75945.03,0.08,0.41,19.546,19.626,19.674,57159.3,67090.64,84266.92,1.09
2017-08-25,19.3,19.9,19.66,19.29,70062.63,0.35,1.81,19.578,19.591,19.677,54208.73,65341.39,84363.58,1.01
2017-08-24,19.41,19.57,19.31,19.26,36586.26,-0.1,-0.52,19.568,19.542,19.696,51973.08,66152.28,84326.25,0.53
2017-08-23,19.67,19.72,19.41,19.33,43855.42,-0.2,-1.02,19.684,19.566,19.73,65482.69,76988.78,88165.45,0.63
2017-08-22,19.85,19.94,19.61,19.59,59347.16,-0.29,-1.46,19.76,19.636,19.754,79911.65,83546.3,89853.38,0.85
2017-08-21,19.69,19.95,19.9,19.69,61192.18,0.29,1.48,19.706,19.724,19.783,77021.98,90355.54,91917.5,0.88
2017-08-18,19.74,19.78,19.61,19.61,58884.4,-0.28,-1.41,19.604,19.783,19.778,76474.04,107253.77,92841.61,0.85
2017-08-17,19.69,20.22,19.89,19.54,104134.27,0.1,0.51,19.516,19.765,19.788,80331.48,106428.39,94392.92,1.5
2017-08-16,19.29,19.88,19.79,19.24,116000.25,0.45,2.33,19.448,19.729,19.795,88494.88,101500.19,94896.93,1.67
2017-08-15,19.45,19.5,19.34,19.22,44898.78,-0.05,-0.26,19.512,19.703,19.809,87180.94,96680.57,95654.44,0.65
2017-08-14,19.12,19.55,19.39,19.12,58452.51,0.22,1.15,19.742,19.722,19.844,103689.09,101443.2,100698.34,0.84
2017-08-11,19.39,19.49,19.17,19.17,78171.58,-0.38,-1.94,19.962,19.763,19.874,138033.5,103385.78,112027.13,1.13
2017-08-10,20.01,20.1,19.55,19.45,144951.3,-0.56,-2.79,20.014,19.849,20.011,132525.3,102500.22,127154.46,2.09
2017-08-09,20.55,20.59,20.11,20.01,109430.54,-0.38,-1.85,20.01,19.894,20.233,114505.49,99342.11,142881.67,1.58
2017-08-08,20.48,20.57,20.49,20.15,127439.54,0.0,0.0,19.894,19.872,20.34,106180.2,96160.46,145997.88,1.84
2017-08-07,19.86,20.55,20.49,19.81,230174.55,1.06,5.46,19.702,19.842,20.428,99197.3,93479.47,153542.57,3.31
2017-08-04,19.5,19.65,19.43,19.41,50630.55,-0.1,-0.51,19.564,19.772,20.483,68738.06,78429.45,149631.99,0.73
2017-08-03,19.6,19.75,19.53,19.4,54852.28,0.0,0.0,19.684,19.811,20.569,72475.13,82357.46,152025.11,0.79
2017-08-02,19.61,19.76,19.53,19.43,67804.1,0.0,0.0,19.778,19.861,20.642,84178.72,88293.66,156568.08,0.98
2017-08-01,19.82,19.99,19.53,19.42,92525.03,-0.27,-1.36,19.85,19.914,20.745,86140.72,94628.31,158646.66,1.33
