date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,43.72,45.74,45.67,43.66,1043659.5,1.93,4.41,44.132,43.285,42.307,856539.16,780529.36,729521.4,1.75
2017-11-09,43.55,43.81,43.74,42.59,641268.94,0.21,0.48,43.364,43.095,42.037,756512.84,745417.64,703905.13,1.07
2017-11-08,44.17,45.0,43.53,43.32,815936.62,-0.66,-1.49,43.068,43.009,41.871,737247.17,777623.53,720309.64,1.37
2017-11-07,43.6,45.0,44.19,43.4,861129.25,0.66,1.52,42.722,42.837,41.692,764381.96,768850.95,749723.77,1.44
2017-11-06,41.86,43.72,43.53,41.79,920701.5,1.7,4.06,42.394,42.545,41.422,759518.01,749699.2,749612.09,1.54
2017-11-03,42.27,42.58,41.83,41.6,543527.88,-0.43,-1.02,42.438,42.255,41.201,704519.56,697331.29,761918.52,0.91
2017-11-02,41.82,42.27,42.26,41.35,544940.62,0.46,1.1,42.826,42.122,41.004,734322.45,692346.25,752123.12,0.91
2017-11-01,42.6,43.08,41.8,41.59,951610.56,-0.75,-1.76,42.95,42.002,40.786,817999.89,704603.41,748847.91,1.59
2017-10-31,43.8,43.8,42.55,42.24,836809.5,-1.2,-2.74,42.952,41.941,40.624,773319.94,687091.75,718648.42,1.4
2017-10-30,43.9,44.3,43.75,42.7,645709.25,-0.02,-0.05,42.696,41.754,40.416,739880.39,686612.07,699912.23,1.08
2017-10-27,42.7,43.8,43.77,42.61,692542.31,0.89,2.08,42.072,41.329,40.175,690143.01,678513.43,698156.28,1.16
2017-10-26,42.01,43.6,42.88,41.7,963327.81,1.07,2.56,41.418,40.979,39.949,650370.04,662392.61,719741.57,1.61
2017-10-25,41.2,41.95,41.81,41.1,728210.81,0.54,1.31,41.054,40.733,39.704,591206.93,662995.75,693340.08,1.22
2017-10-24,40.33,41.45,41.27,40.27,669611.75,0.64,1.57,40.93,40.547,39.506,600863.57,730596.59,680466.55,1.12
2017-10-23,40.5,40.9,40.63,40.09,397022.38,0.13,0.32,40.812,40.299,39.307,633343.74,749524.99,678546.01,0.66
2017-10-20,40.92,40.92,40.5,40.04,493677.47,-0.56,-1.36,40.586,40.146,39.172,666883.86,826505.76,691120.0,0.83
2017-10-19,40.99,41.55,41.06,40.57,667512.25,-0.13,-0.32,40.54,39.886,39.022,674415.17,811900.0,690496.02,1.12
2017-10-18,40.7,41.2,41.19,40.4,776494.0,0.51,1.25,40.412,39.57,38.836,734784.56,793092.4,693021.39,1.3
2017-10-17,39.76,40.68,40.68,39.39,832012.62,1.18,2.99,40.164,39.306,38.611,860329.61,750205.08,692032.9,1.39
2017-10-16,40.27,40.6,39.5,39.5,564722.94,-0.77,-1.91,39.786,39.078,38.433,865706.23,713212.4,676115.66,0.95
2017-10-13,40.45,40.64,40.27,39.85,531334.06,-0.15,-0.37,39.706,39.021,38.312,986127.66,717799.13,690599.2,0.89
2017-10-12,39.98,40.59,40.42,39.83,969359.19,0.47,1.18,39.232,38.919,38.189,949384.83,777090.54,692855.75,1.62
2017-10-11,38.69,40.21,39.95,38.52,1404219.25,1.16,2.99,38.728,38.676,38.077,851400.24,723684.41,663212.02,2.35
2017-10-10,39.28,39.54,38.79,38.15,858895.69,-0.31,-0.79,38.448,38.464,37.986,640080.54,630336.5,617868.36,1.44
2017-10-09,38.5,39.58,39.1,38.02,1166830.12,1.2,3.17,38.37,38.314,37.951,560718.57,607567.04,608422.48,1.95
2017-09-29,37.94,38.25,37.9,37.8,347619.91,0.0,0.0,38.336,38.198,37.901,449470.61,555734.24,604186.48,0.58
2017-09-28,38.55,38.62,37.9,37.87,479436.25,-0.65,-1.69,38.606,38.158,37.939,604796.25,569092.05,647537.86,0.8
2017-09-27,38.48,38.79,38.55,38.13,347620.75,0.15,0.39,38.624,38.101,38.023,595968.58,592950.37,641308.48,0.58
2017-09-26,38.91,39.13,38.4,38.2,462085.81,-0.53,-1.36,38.48,37.916,38.064,620592.45,633860.71,648535.96,0.77
2017-09-25,39.2,39.52,38.93,38.68,610590.31,-0.32,-0.81,38.258,37.787,38.135,654415.52,639018.91,655066.04,1.02
2017-09-22,37.9,39.63,39.25,37.86,1124248.12,1.26,3.32,38.06,37.603,38.171,661997.87,663399.26,652097.93,1.88
2017-09-21,37.96,38.15,37.99,37.78,435297.91,0.16,0.42,37.71,37.458,38.18,533387.84,608620.95,615648.16,0.73
2017-09-20,37.4,37.98,37.83,37.3,470740.12,0.54,1.45,37.578,37.478,38.241,589932.16,602739.63,609096.83,0.79
2017-09-19,38.0,38.38,37.29,37.24,631201.12,-0.65,-1.71,37.352,37.508,38.302,647128.97,605400.23,608408.33,1.06
2017-09-15,37.49,38.09,37.94,37.23,648502.06,0.44,1.17,37.316,37.587,38.383,623622.31,609277.92,598288.13,1.09
2017-09-14,37.33,37.65,37.5,37.03,481198.0,0.17,0.46,37.146,37.604,38.399,664800.65,652638.72,580916.42,0.81
2017-09-13,36.7,37.48,37.33,36.56,718019.5,0.63,1.72,37.206,37.719,38.428,683854.06,725983.67,577873.69,1.2
2017-09-12,37.1,37.1,36.7,36.42,756724.19,-0.41,-1.1,37.378,37.944,38.458,615547.1,689666.58,568409.29,1.27
2017-09-11,37.02,37.52,37.11,36.78,513667.81,0.02,0.05,37.664,38.212,38.552,563671.48,663211.21,549050.55,0.86
2017-09-08,37.7,37.8,37.09,37.01,854393.75,-0.71,-1.88,37.858,38.483,38.638,594933.53,671113.17,544751.66,1.43
2017-09-07,38.05,38.12,37.8,37.65,576465.06,-0.39,-1.02,38.062,38.739,38.691,640476.78,640796.59,521060.85,0.97
2017-09-06,38.13,38.25,38.19,37.93,376484.69,0.06,0.16,38.232,38.902,38.742,768113.27,622675.38,513004.03,0.63
2017-09-05,38.08,38.33,38.13,37.9,497346.09,0.05,0.13,38.51,39.003,38.792,763786.07,615454.03,522807.28,0.83
2017-09-04,38.08,38.32,38.08,37.8,669978.06,-0.03,-0.08,38.76,39.096,38.81,762750.93,611416.43,516355.39,1.12
2017-09-01,38.67,38.67,38.11,37.92,1082110.0,-0.54,-1.4,39.108,39.178,38.827,747292.81,587298.35,517335.73,1.81
2017-08-31,40.12,40.35,38.65,38.12,1214647.5,-0.93,-2.35,39.416,39.194,38.811,641116.41,509194.12,495204.04,2.03
2017-08-30,39.49,39.61,39.58,39.12,354848.69,0.2,0.51,39.572,39.137,38.795,477237.48,429763.71,474290.53,0.59
2017-08-29,39.91,39.94,39.38,39.0,492170.41,-0.44,-1.1,39.496,38.971,38.767,467121.98,447151.99,481326.77,0.82
2017-08-28,40.04,40.5,39.82,39.5,592687.44,0.17,0.43,39.432,38.891,38.761,460081.93,434889.89,485092.17,0.99
2017-08-25,39.62,40.15,39.65,39.5,551228.0,0.22,0.56,39.248,38.792,38.732,427303.88,418390.15,481828.74,0.92
2017-08-24,39.21,39.5,39.43,39.1,395252.88,0.23,0.59,38.972,38.643,38.728,377271.83,401325.11,482642.97,0.66
2017-08-23,39.1,39.26,39.2,38.92,304271.19,0.14,0.36,38.702,38.582,38.702,382289.93,403332.69,508859.3,0.51
2017-08-22,39.11,39.62,39.06,38.91,456970.16,0.16,0.41,38.446,38.58,38.742,427182.0,430160.53,528390.21,0.77
